time,P
2023-03-27 8:47:26.9130,100049.94
2023-03-27 8:47:27.9780,100050.55
2023-03-27 8:47:29.0420,100051.16
2023-03-27 8:47:30.1070,100051.74
2023-03-27 8:47:31.1620,100052.44
2023-03-27 8:47:32.2280,100053.6
2023-03-27 8:47:33.2920,100055.27
2023-03-27 8:47:34.3570,100057.53
2023-03-27 8:47:35.4230,100060.91
2023-03-27 8:47:36.4860,100064.37
2023-03-27 8:47:37.5450,100068.21
2023-03-27 8:47:38.6100,100071.65
2023-03-27 8:47:39.6750,100074.37
2023-03-27 8:47:40.7400,100076.79
2023-03-27 8:47:41.8160,100079.56
2023-03-27 8:47:42.8610,100081.78
2023-03-27 8:47:43.9260,100084.0
2023-03-27 8:47:45.0030,100086.44
2023-03-27 8:47:46.0560,100088.77
2023-03-27 8:47:47.1210,100090.76
2023-03-27 8:47:48.1760,100092.5
2023-03-27 8:47:49.2380,100093.73
2023-03-27 8:47:50.3030,100094.47
2023-03-27 8:47:51.3730,100094.86
2023-03-27 8:47:52.4320,100094.86
2023-03-27 8:47:53.5000,100094.93
2023-03-27 8:47:54.5550,100095.03
2023-03-27 8:47:55.6210,100095.5
2023-03-27 8:47:56.6850,100096.67
2023-03-27 8:47:57.7490,100098.57
2023-03-27 8:47:58.8160,100100.84
2023-03-27 8:47:59.8700,100103.11
2023-03-27 8:48:00.9370,100105.22
2023-03-27 8:48:02.0010,100106.67
2023-03-27 8:48:03.0670,100107.87
2023-03-27 8:48:04.1320,100109.25
2023-03-27 8:48:05.1850,100110.91
2023-03-27 8:48:06.2500,100113.2
2023-03-27 8:48:07.3150,100115.93
2023-03-27 8:48:08.3910,100118.75
2023-03-27 8:48:09.4450,100121.27
2023-03-27 8:48:10.5100,100123.32
2023-03-27 8:48:11.5770,100124.57
2023-03-27 8:48:12.6340,100125.53
2023-03-27 8:48:13.6990,100125.76
2023-03-27 8:48:14.7620,100125.85
2023-03-27 8:48:15.8280,100125.85
2023-03-27 8:48:16.8840,100126.08
2023-03-27 8:48:17.9520,100126.34
2023-03-27 8:48:19.0110,100126.68
2023-03-27 8:48:20.0770,100127.75
2023-03-27 8:48:21.1420,100129.57
2023-03-27 8:48:22.2060,100132.0
2023-03-27 8:48:23.2640,100134.54
2023-03-27 8:48:24.3270,100137.02
2023-03-27 8:48:25.3940,100138.6
2023-03-27 8:48:26.4580,100139.05
2023-03-27 8:48:27.5220,100139.05
2023-03-27 8:48:28.5780,100138.91
2023-03-27 8:48:29.6420,100138.77
2023-03-27 8:48:30.7070,100138.77
2023-03-27 8:48:31.7850,100139.03
2023-03-27 8:48:32.8390,100139.25
